from,to,date,origin
5723,451,16550216,-
3684,451,16570821,-
2184,41533,16371114,-
27592,20905,16280904,Sion [House]
1628,20905,16280916,-
30211,40994,17060503,-
17323,25353,16640120,-
43212,42067,16400623,-
44813,42999,16730826,Hamburg
19481,55880,16401231,-
5447,40994,17050401,-
43613,44285,16300619,-
40994,9730,17040728,The Cockpit
14243,41287,16261209,Ash
13856,38454,16101120,-
19716,14200,16260223,-
30730,41287,16280915,Sittingborne
17681,10683,16180626,-
44285,49878,16331120,-
1628,13045,16290914,-
43578,21153,16400512,Tichborne
35372,10580,16260310,-
39016,26827,16830921,Winchester
41059,38454,16111101,-
41452,43400,16170601,-
874,44566,16420607,London
24263,7746,16370327,-
43613,13045,16280402,-
42787,41287,16250724,-
12793,44285,16391206,-
41300,38454,16041006,Ilminster
40994,40567,17050323,The Cockpit
40615,42999,16760715,Harwich
48452,9502,16720428,Dartmouth
10738,36091,16910523,Liege
40875,7746,16400218,-
6979,28068,16771103,-
32028,42144,16271010,-
48972,15148,16401231,-
40673,17218,16210919,-
6979,1895,16710712,Windsor
9737,47890,16460303,Derby House
451,42097,16340308,Wallingford House
24005,34115,16680303,-
28290,6978,16350225,-
30605,451,16540908,-
24947,42529,17100706,-
41121,34115,16651021,-
52391,41533,16400831,Waltham Holy Cross
40994,27599,17040523,Whitehall
24259,41287,16620119,-
42536,6978,16230104,-
34449,20980,16270912,Fillingham
44832,31872,16960228,Whitehall
7072,28175,16970406,Whitehall
43546,41287,16290625,The Dreadnought
50878,54731,17101129,Moscow
9737,47890,16460520,Derby House
5463,42999,16780830,Rye
38098,42999,16760826,Deal
40994,19415,17060611,The Cockpit
6979,36223,16741130,Whitehall
35121,30070,17090610,-
46438,42533,16151129,-
25923,48831,16950215,Kensington
21177,1895,16980715,Whitehall
3157,38644,17061207,Moscow
41533,24825,16160831,-
48109,42999,16721113,Falmouth
21118,34586,16790307,Whitehall
16434,6978,16310113,-
41024,42999,16670617,-
7072,28175,16941225,Whitehall
40395,44277,16331109,Frampton
14573,38454,16111103,Tottenham
50963,34115,16530706,-
40862,38454,16050930,-
6264,451,16561025,-
20945,20051,16231011,-
10177,19743,16401211,-
8469,34115,16720526,Gravesend
12104,14200,16240915,-
41675,45118,16640218,Hague
1149,42999,16720514,Letter Office
5991,34115,16660220,"The Milford, King Road"
46438,46801,16620516,-
18852,41287,16600602,Essex House
14186,17681,16250123,Dover
47367,42999,16730130,Bridlington
44244,42999,16690511,-
45584,38108,16310122,-
29234,44285,16310902,-
54060,38039,16510603,-
54060,29592,16511023,-
17571,34115,16720530,"The Unity, Harwich"
49903,6978,16360320,Congregation House
14588,36220,16050225,-
3157,38644,17050708,Moscow
9737,41277,16450419,Derby House
19394,11172,16930110,Dublin
48299,13045,16250923,Imworth
18037,31632,16150718,-
27633,6978,16331231,-
451,50128,16371019,Whitehall
10238,34115,16620225,Chatham
14704,44566,16050313,-
53794,23315,16520827,-
43613,13045,16280209,-
18912,27773,16651231,-
37528,33783,16081123,-
42049,41287,16370820,Cotes
25716,19629,16230510,Exeter
48964,38644,17060508,Berlin
