from,to,date,origin
24913,34115,16650630,Deptford
14577,41287,16360625,The Office of Ordnance
18445,42314,16250313,-
21177,28175,17010527,Whitehall
34115,451,16550620,-
54060,54632,16511111,-
21177,2315,17020407,Whitehall
451,913,16340619,Whitehall
43746,13045,16200114,-
36390,7746,16331202,-
7072,9207,16951205,Whitehall
19394,28188,16910217,Whitehall
5385,42999,16780304,Truro
22692,38644,17060719,-
