id,person_name
48299,Thomas Locke
18037,Gotardi
27633,Lord Jn. Pawlett
14704,"Edward la Zouche, Baron Zouche"
53794,[Late Treasurers-at-war]
18912,"Henry Bennet, Earl of Arlington"
37528,Richard Fynglas
42049,Sir Henry Skipwith
25716,"Justices of the hundreds of Smith Molton, North Tawton, and Witheridge"
429,Admiral Robert Blake
35893,Pope Gregory XV
31612,Michael Stannyshe
39920,Samuel Sharland
19312,Henry Oldenburg
55606,NA
11175,Daniel Furzer
4660,Capt. William Lovelace
17631,George Stepney
9881,Committee of Accounts at Nottingham
43400,Sir Ralph Winwood
19477,Henry Weston
51954,William Landgrave
36379,Quem Nosti
20106,Irish Privy Council
41323,Sir Edward Sherburne
7342,Christian IV of Denmark
41652,Sir George Carew
23065,John Fowke
51125,William Blathwaite
42396,Sir John Ashburnham
46591,The Lord Lieutenant
3548,Capt. Francis Willoughby
51213,"William Brouncker, Viscount Brouncker of Lyons"
43101,Sir Michael Ernle
14965,Elizabeth Noyes
44113,"Sir Thomas Fleming, Solicitor General, of a re-grant"
49842,Tsar Mikhail
46261,The Earl of Tyrone
37614,Richard Hayward
3850,Capt. Jno. Major
2544,Benjamin Holmes
41769,Sir George Vane
263,Abraham Allgate
5554,Captain John Fortescue
34371,Nicholas Polhill
16683,Gabriel Penne
6410,Captain William Burstow
52233,William Peach
4653,Capt. William Crispin
41058,Sir Clement Cottrell
36220,Privy Council in England
20912,James Hickes
18879,Henry Anderson
42739,Sir John Mennes
7154,"Charles, Viscount Wilmot"
18851,"Heneage Finch, Earl of Nottingham"
9474,Commissioners for the Loan in Co. Radnor
24053,John Pocock
6338,Captain Valentine Jowles
24772,John Worrall
10818,Countess Dowager of Devonshire
37517,Richard Forster
36077,Prince Charles Louis
20862,James Frizell
7421,Christopher Cratford
42039,Sir Henry Rich
16018,Francis Gordon
15020,Elizabeth of Bohemia
30824,Mayor and Alderman of Chester
48740,"Thomas Smith, Bishop of Carlisle"
39349,"Roger Boyle, Earl of Orrery"
51915,"William Juxon, Archbishop of Canterbury"
3510,Capt. Edw. Nixon
13161,Duke of Savoy
3952,"Capt. John Lawson, late commander of the Centurion frigate"
13954,Edw. Griffith
51485,William Dobson
38067,Richard Venables
44637,Sir William Galley
41952,Sir Henry Glemham
19522,Henry de Vic
16294,"Francis, Lord Aungier"
41496,Sir Francis Nethersole
14709,"Edward, Lord Herbert"
16082,Francis Lord Hawley
40860,Sir Arthur Capell
27691,Lord Lieutenant
41921,Sir Henry Cock
18313,Grand Vizier
14166,Edward Byland
9602,Commissioners of Poland
51575,"William Feilding, Earl of Denbigh"
31900,Mons. de Hasteville
42489,Sir John Conyers
41396,Sir Fancis Vere
41798,Sir Gilbert Talbot
44780,Sir William Selby
48655,Thomas Ross
22639,John Carpenter
34991,P. Manaton
36848,Regrant
5385,Captain Hugh Acland
4659,Capt. William Hill
24732,John Windebank
48823,Thomas Tallis
51468,William Dawes
46439,The King ;Lord Lieutenant
52785,"William, Duke of Curland"
44182,Sir Thomas Lake
42067,Sir Henry Vane
42866,Sir John Skelton
23649,John Leversedge
22619,John Caitness
32077,Morton
18889,Henry Atye
23013,"John Fell, Bishop of Oxford"
29243,Magistrates of Middelburg
44983,Southwell
37893,Richard Potts
36100,Prince Matthias
24728,John Wilson
43139,Sir Nicholas Armorer
49024,Thomas Windebank
4807,Captain Abraham Holditch
34064,Nathaniel Osborne
39896,Samuel Pepys
